Master ,DIS_Atlas,DIS_Atlas2,Mouse_MTAB6081,Rat_MTAB6081,Ratlas,Minipig_Atlas,HPA,GTEx Megumi,GTEx Carlos,BarkBase,NHPRTR,BioGPS_Mouse,BioGPS_Mouse2,BioGPS_Human,Tissue_type,DISPLAY_LEVEL,DISPLAY_ORDER,original order,level1
B lymphoblast,B lymphoblast,,,,,,,,,,,,,,cardiovascular system,1,0,2,B lymphoblast
adrenal gland,adrenal gland,Adrenal.gland,,,,Adrenal_gland,adrenal.gland,Adrenal_Gland,Adrenal Gland,adrenal,,adrenalgland,adrenal_gland,Adrenalgland,endocrine system,1,197,880,adrenal gland
T lymphoblast,T lymphoblast,,,,,,,,,,,,,,cardiovascular system,1,0,5,T lymphoblast
abdomen blood vessel,abdomen blood vessel,,,,,,,,,,,,,,cardiovascular system,1,#N/A,6,abdomen blood vessel
abdomen/pelvis/perineum blood vessel,abdomen/pelvis/perineum blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,7,abdomen/pelvis/perineum blood vessel
urinary bladder,urinary bladder,Bladder.urinary,,,,"Bladder,_urinary",urinary.bladder,Bladder,Bladder,bladder,,bladder,bladder,,renal/urinary system,1,190,2375,urinary bladder
adrenal vein,adrenal vein,,,,,,,,,,,,,,cardiovascular system,1,0,9,adrenal vein
afferent lymphatic vessel,afferent lymphatic vessel,,,,,,,,,,,,,,cardiovascular system,1,0,10,afferent lymphatic vessel
alveolar artery,alveolar artery,,,,,,,,,,,,,,cardiovascular system,1,0,11,alveolar artery
anastomotic vein,anastomotic vein,,,,,,,,,,,,,,cardiovascular system,1,0,12,anastomotic vein
anterior auricular vein,anterior auricular vein,,,,,,,,,,,,,,cardiovascular system,1,0,13,anterior auricular vein
anterior cerebral artery,anterior cerebral artery,,,,,,,,,,,,,,cardiovascular system,1,0,14,anterior cerebral artery
anterior facial vein,anterior facial vein,,,,,,,,,,,,,,cardiovascular system,1,0,15,anterior facial vein
anterior jugular vein,anterior jugular vein,,,,,,,,,,,,,,cardiovascular system,1,0,16,anterior jugular vein
anterior tibial artery,anterior tibial artery,,,,,,,,,,,,,,cardiovascular system,1,0,17,anterior tibial artery
anterior tibial vein,anterior tibial vein,,,,,,,,,,,,,,cardiovascular system,1,0,18,anterior tibial vein
blood cells,blood cells,Bloodcells,,,,,,,,,,,,,hematopoietic system,2,209,934,blood
aorta endothelium,aorta endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,20,aorta endothelium
aorta smooth muscle,aorta smooth muscle,,,,,,,,,,,,,,cardiovascular system,1,0,21,aorta smooth muscle
aortic sinus,aortic sinus,,,,,,,,,,,,,,cardiovascular system,1,0,22,aortic sinus
accumbens nucleus,accumbens nucleus,,,,,,,Brain_Nucleus_accumbens_basal_ganglia,Brain - Nucleus accumbens (basal ganglia),,,,nucleus_accumbens,,nervous system,1,0,1724,brain
monocyte,monocyte,Bloodcells.monocyte.CD11B..CD172A,,,,,,,,,,,,,immune system,#N/A,#N/A,952,monocyte
arm blood vessel,arm blood vessel,,,,,,,,,,,,,,cardiovascular system,1,0,25,arm blood vessel
arterial blood vessel,arterial blood vessel,,,,,,,,,,,,,,cardiovascular system,1,33,26,arterial blood vessel
arterial system,arterial system,,,,,,,,,,,,,,cardiovascular system,1,0,27,arterial system
arterial system endothelium,arterial system endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,28,arterial system endothelium
arterial system smooth muscle,arterial system smooth muscle,,,,,,,,,,,,,,cardiovascular system,1,0,29,arterial system smooth muscle
arteriole,arteriole,,,,,,,,,,,,,,cardiovascular system,1,0,30,arteriole
arteriole endothelium,arteriole endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,31,arteriole endothelium
arteriole smooth muscle,arteriole smooth muscle,,,,,,,,,,,,,,cardiovascular system,1,0,32,arteriole smooth muscle
artery,artery,,,,,,,,,,,,,,cardiovascular system,1,0,33,artery
artery endothelium,artery endothelium,,,,,,,,,,,,,,cardiovascular system,1,0,34,artery endothelium
artery of lower lip,artery of lower lip,,,,,,,,,,,,,,cardiovascular system,1,0,35,artery of lower lip
artery of upper lip,artery of upper lip,,,,,,,,,,,,,,cardiovascular system,1,0,36,artery of upper lip
artery smooth muscle,artery smooth muscle,,,,,,,,,,,,,,cardiovascular system,1,0,37,artery smooth muscle
